epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,628.665,0.29812,1.11487,0.15979,0.79805,0.76421,0.73277,0.67098,0.15205,0.4547,0.10371,0.00111013,0.00111013,0.00111013
2,1221.46,0.23146,0.51712,0.10952,0.80203,0.74986,0.72408,0.66301,0.14694,0.46851,0.10566,0.00110416,0.00110416,0.00110416
3,1791.09,0.21985,0.47531,0.10047,0.83295,0.77087,0.79614,0.73443,0.14525,0.3542,0.10444,0.00108381,0.00108381,0.00108381
4,2365.04,0.21542,0.45913,0.09703,0.86767,0.8199,0.8535,0.7937,0.12985,0.33072,0.08554,0.00105046,0.00105046,0.00105046
5,2939.57,0.2099,0.44151,0.095,0.83992,0.8022,0.79074,0.74353,0.11564,0.38726,0.07393,0.00100492,0.00100492,0.00100492
6,3522.81,0.20616,0.44722,0.09385,0.84736,0.80949,0.80731,0.75796,0.11705,0.33794,0.07392,0.000948314,0.000948314,0.000948314
7,4118.22,0.19836,0.42869,0.08932,0.87483,0.84776,0.87413,0.81344,0.12552,0.31846,0.08419,0.000882038,0.000882038,0.000882038
8,4729.85,0.19779,0.41758,0.08927,0.90284,0.83393,0.87133,0.8179,0.1179,0.28279,0.07543,0.000807722,0.000807722,0.000807722
9,5335.87,0.19201,0.40272,0.08672,0.89238,0.83198,0.86394,0.81406,0.11063,0.29332,0.0687,0.000727197,0.000727197,0.000727197
10,5914.83,0.1889,0.40564,0.08457,0.89861,0.84725,0.8875,0.83883,0.10979,0.28624,0.06847,0.000642446,0.000642446,0.000642446
11,6511.0,0.14573,0.32068,0.08782,0.88628,0.90002,0.91107,0.85338,0.11361,0.26391,0.0706,0.000555556,0.000555556,0.000555556
12,7092.27,0.14241,0.30594,0.08502,0.88748,0.84374,0.84224,0.7885,0.11157,0.325,0.07151,0.000468665,0.000468665,0.000468665
13,7658.1,0.13417,0.2882,0.07736,0.93066,0.89142,0.93992,0.8832,0.10019,0.23077,0.06063,0.000383914,0.000383914,0.000383914
14,8237.62,0.13183,0.2714,0.07593,0.92066,0.88221,0.92419,0.86807,0.10632,0.2472,0.06799,0.000303389,0.000303389,0.000303389
15,8822.46,0.13106,0.2675,0.07472,0.93907,0.91568,0.94001,0.88356,0.09945,0.21891,0.05997,0.000229073,0.000229073,0.000229073
16,9402.31,0.12622,0.25178,0.07088,0.93686,0.92433,0.95645,0.89817,0.09963,0.21032,0.06177,0.000162797,0.000162797,0.000162797
17,9973.66,0.12409,0.24411,0.06896,0.93005,0.90537,0.93907,0.88203,0.10015,0.22823,0.06076,0.000106192,0.000106192,0.000106192
18,10548.0,0.12161,0.23669,0.06794,0.92859,0.91609,0.94468,0.88618,0.10017,0.2225,0.06099,6.06509e-05,6.06509e-05,6.06509e-05
19,11127.3,0.1189,0.22853,0.06551,0.93337,0.90625,0.93831,0.88182,0.1001,0.23174,0.06093,2.72965e-05,2.72965e-05,2.72965e-05
