epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,313.497,0.96364,2.05015,0.59863,0.49114,0.38269,0.30958,0.2299,0.29521,1.02211,0.20045,0.000369897,0.000369897,0.000369897
2,611.728,0.37348,0.90943,0.18216,0.56588,0.43172,0.38465,0.32572,0.17691,0.83981,0.11308,0.000739507,0.000739507,0.000739507
3,901.924,0.30619,0.7831,0.144,0.60232,0.47755,0.44753,0.40559,0.16864,0.5838,0.11872,0.00110623,0.00110623,0.00110623
4,1193.16,0.26609,0.70242,0.12077,0.63826,0.56506,0.54019,0.50123,0.14936,0.48822,0.10268,0.00110126,0.00110126,0.00110126
5,1484.86,0.25339,0.6582,0.11728,0.68775,0.68529,0.66843,0.61377,0.17005,0.55061,0.12912,0.00109372,0.00109372,0.00109372
6,1770.58,0.24411,0.61926,0.11175,0.80955,0.6161,0.62932,0.57762,0.1519,0.44507,0.1092,0.00108408,0.00108408,0.00108408
7,2050.35,0.23778,0.59966,0.11103,0.73029,0.70456,0.71755,0.65024,0.17881,0.49075,0.14862,0.00107238,0.00107238,0.00107238
8,2327.29,0.2297,0.57008,0.10645,0.79986,0.73629,0.7599,0.70146,0.1345,0.35769,0.09189,0.00105866,0.00105866,0.00105866
9,2603.98,0.22964,0.54647,0.10628,0.81897,0.73903,0.7818,0.7285,0.13462,0.41914,0.09003,0.00104298,0.00104298,0.00104298
10,2881.29,0.22438,0.53894,0.10314,0.82049,0.79231,0.82202,0.77008,0.12426,0.35762,0.08407,0.00102539,0.00102539,0.00102539
11,3158.58,0.22059,0.53744,0.10119,0.78436,0.79928,0.82251,0.76179,0.12912,0.38198,0.08815,0.00100597,0.00100597,0.00100597
12,3437.49,0.21517,0.51499,0.0985,0.84734,0.73494,0.79143,0.73875,0.12065,0.35146,0.08007,0.000984795,0.000984795,0.000984795
13,3714.86,0.21415,0.50888,0.09836,0.81979,0.78943,0.80413,0.75527,0.1172,0.34225,0.07823,0.000961948,0.000961948,0.000961948
14,3992.12,0.21397,0.50199,0.09743,0.80949,0.73988,0.78617,0.7341,0.12025,0.3583,0.08076,0.000937518,0.000937518,0.000937518
15,4268.8,0.20958,0.49716,0.0961,0.79456,0.77367,0.78172,0.72664,0.11767,0.33963,0.07458,0.000911603,0.000911603,0.000911603
