epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,302.73,0.92246,2.14392,0.57955,0.42622,0.38443,0.36552,0.29953,0.22573,0.88809,0.15232,0.000369897,0.000369897,0.000369897
2,586.076,0.3594,0.9014,0.17515,0.8463,0.29899,0.34029,0.29625,0.17996,0.83209,0.12566,0.000739507,0.000739507,0.000739507
3,866.355,0.30618,0.80741,0.14636,0.61223,0.56308,0.53656,0.47327,0.18431,0.5935,0.12265,0.00110623,0.00110623,0.00110623
4,1146.47,0.27756,0.73307,0.12961,0.70268,0.59272,0.60526,0.54169,0.16622,0.52757,0.11196,0.00110126,0.00110126,0.00110126
5,1425.9,0.2633,0.66187,0.12308,0.67317,0.64899,0.61104,0.57039,0.14615,0.48777,0.09585,0.00109372,0.00109372,0.00109372
6,1705.47,0.25461,0.63597,0.1175,0.76655,0.61701,0.66144,0.61043,0.14606,0.43528,0.09716,0.00108408,0.00108408,0.00108408
7,1984.81,0.24696,0.596,0.11626,0.71339,0.69288,0.6803,0.62674,0.13969,0.48033,0.09649,0.00107238,0.00107238,0.00107238
8,2265.16,0.24024,0.57964,0.11165,0.73847,0.73931,0.73857,0.68135,0.13385,0.37881,0.08906,0.00105866,0.00105866,0.00105866
9,2543.25,0.23545,0.55756,0.10938,0.78302,0.71906,0.7503,0.6982,0.13729,0.40067,0.08578,0.00104298,0.00104298,0.00104298
10,2822.25,0.23106,0.54391,0.10609,0.8051,0.77865,0.78951,0.73585,0.12329,0.37803,0.07991,0.00102539,0.00102539,0.00102539
11,3109.53,0.22724,0.54053,0.10388,0.77506,0.76297,0.77641,0.71056,0.15119,0.41524,0.11322,0.00100597,0.00100597,0.00100597
12,3392.72,0.22368,0.5198,0.10235,0.78863,0.75167,0.7624,0.7065,0.13859,0.39111,0.09515,0.000984795,0.000984795,0.000984795
13,3680.53,0.2222,0.50962,0.10168,0.82249,0.7546,0.77628,0.72505,0.12428,0.34183,0.08242,0.000961948,0.000961948,0.000961948
14,3964.4,0.22065,0.50071,0.10027,0.79481,0.7826,0.80205,0.74705,0.12133,0.36298,0.08066,0.000937518,0.000937518,0.000937518
15,4251.69,0.21314,0.49492,0.0964,0.81049,0.77339,0.7838,0.72777,0.12107,0.33307,0.07927,0.000911603,0.000911603,0.000911603
16,4541.08,0.21271,0.49049,0.09837,0.81701,0.77919,0.79037,0.73142,0.12795,0.35709,0.0847,0.000884305,0.000884305,0.000884305
17,4829.94,0.21629,0.47817,0.09762,0.81169,0.79527,0.79688,0.74364,0.11932,0.33366,0.07626,0.00085573,0.00085573,0.00085573
18,5119.94,0.20838,0.46753,0.09427,0.80959,0.82973,0.81039,0.75737,0.11548,0.3552,0.07471,0.000825993,0.000825993,0.000825993
19,5407.22,0.2077,0.4609,0.09343,0.83217,0.80796,0.81127,0.75313,0.11717,0.33028,0.07566,0.00079521,0.00079521,0.00079521
20,5694.86,0.20406,0.4523,0.09115,0.83351,0.77591,0.78661,0.73295,0.11786,0.33916,0.07739,0.000763503,0.000763503,0.000763503
21,5989,0.2045,0.44285,0.09207,0.8332,0.79546,0.80828,0.75521,0.11763,0.32986,0.07733,0.000730997,0.000730997,0.000730997
22,6274.2,0.20074,0.45159,0.08953,0.8332,0.78081,0.80303,0.75256,0.11428,0.32145,0.07325,0.000697821,0.000697821,0.000697821
23,6553.02,0.19928,0.44698,0.08878,0.80745,0.82656,0.79887,0.74701,0.11502,0.38059,0.07383,0.000664104,0.000664104,0.000664104
