epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,304.532,0.93523,2.05594,0.57377,0.61443,0.18068,0.14991,0.10457,0.31494,1.06175,0.23202,0.000369897,0.000369897,0.000369897
2,598.102,0.37713,0.90305,0.18099,0.35752,0.50374,0.41485,0.35699,0.19219,0.85726,0.13321,0.000739507,0.000739507,0.000739507
3,877.526,0.30388,0.78914,0.14139,0.61,0.54134,0.52138,0.47497,0.15523,0.58828,0.10556,0.00110623,0.00110623,0.00110623
4,1156.42,0.27166,0.70949,0.12502,0.61719,0.58839,0.58121,0.53102,0.16168,0.56,0.1137,0.00110126,0.00110126,0.00110126
5,1434.84,0.2583,0.65747,0.12095,0.75791,0.65528,0.68523,0.64104,0.14545,0.49545,0.10024,0.00109372,0.00109372,0.00109372
6,1711.35,0.24572,0.62623,0.1123,0.76833,0.66982,0.71364,0.65967,0.14699,0.4099,0.10238,0.00108408,0.00108408,0.00108408
7,1988.46,0.23864,0.58475,0.11173,0.74123,0.69846,0.72251,0.66392,0.14435,0.45145,0.10395,0.00107238,0.00107238,0.00107238
8,2265.48,0.23126,0.57126,0.10639,0.78612,0.73524,0.73675,0.67955,0.13199,0.36487,0.09187,0.00105866,0.00105866,0.00105866
9,2542.23,0.22903,0.54678,0.10617,0.77471,0.72062,0.75599,0.71065,0.12136,0.37782,0.07802,0.00104298,0.00104298,0.00104298
10,2819.04,0.22421,0.53123,0.10202,0.79698,0.76887,0.7896,0.74004,0.12384,0.37182,0.08371,0.00102539,0.00102539,0.00102539
11,3097.33,0.22032,0.52705,0.09929,0.79127,0.74289,0.7785,0.7166,0.13357,0.39899,0.09611,0.00100597,0.00100597,0.00100597
12,3374.84,0.21784,0.5138,0.09985,0.78308,0.72894,0.75323,0.69487,0.1243,0.37046,0.08472,0.000984795,0.000984795,0.000984795
13,3652.55,0.214,0.5073,0.09639,0.82223,0.77762,0.80684,0.75107,0.12033,0.34426,0.07909,0.000961948,0.000961948,0.000961948
14,3930.63,0.2168,0.4977,0.09875,0.80762,0.76801,0.80863,0.74894,0.12021,0.34751,0.08138,0.000937518,0.000937518,0.000937518
15,4210.12,0.20691,0.48799,0.09245,0.82524,0.80251,0.82047,0.76518,0.11315,0.32339,0.07091,0.000911603,0.000911603,0.000911603
16,4499.48,0.207,0.47534,0.09365,0.82139,0.75762,0.78944,0.7353,0.11929,0.35232,0.07955,0.000884305,0.000884305,0.000884305
17,4788.41,0.20858,0.47317,0.09328,0.81609,0.75256,0.74728,0.69646,0.11177,0.34876,0.07142,0.00085573,0.00085573,0.00085573
18,5064.91,0.20194,0.46839,0.08909,0.81006,0.8221,0.81881,0.76813,0.11394,0.3319,0.07273,0.000825993,0.000825993,0.000825993
19,5341.69,0.20249,0.45794,0.09081,0.84208,0.79259,0.81461,0.75747,0.11917,0.34007,0.0792,0.00079521,0.00079521,0.00079521
20,5631.39,0.19827,0.45188,0.08816,0.82789,0.7866,0.80351,0.7526,0.11418,0.32804,0.07464,0.000763503,0.000763503,0.000763503
21,5920.9,0.19924,0.43761,0.08882,0.85222,0.77999,0.79799,0.74563,0.11497,0.33198,0.07555,0.000730997,0.000730997,0.000730997
22,6212.4,0.19463,0.44339,0.08756,0.83474,0.78572,0.80021,0.7453,0.11144,0.32484,0.07124,0.000697821,0.000697821,0.000697821
23,6503.67,0.19479,0.43625,0.08678,0.82457,0.81571,0.82294,0.77304,0.10822,0.32925,0.0683,0.000664104,0.000664104,0.000664104
24,6796.55,0.19151,0.43404,0.08294,0.8505,0.77079,0.77883,0.7309,0.10969,0.31829,0.0677,0.000629981,0.000629981,0.000629981
25,7088.3,0.19305,0.42369,0.08517,0.86553,0.79852,0.82061,0.76932,0.10814,0.30414,0.06822,0.000595586,0.000595586,0.000595586
26,7375.05,0.18965,0.42543,0.08284,0.83839,0.82736,0.82583,0.77854,0.10719,0.33002,0.06678,0.000561055,0.000561055,0.000561055
27,7667.51,0.19085,0.41752,0.08341,0.86161,0.81804,0.85178,0.79896,0.10401,0.30044,0.06418,0.000526524,0.000526524,0.000526524
28,7958.76,0.1893,0.41191,0.08164,0.85238,0.80631,0.82353,0.77505,0.10214,0.31311,0.0613,0.000492129,0.000492129,0.000492129
29,8238.93,0.18463,0.40638,0.08002,0.85204,0.80595,0.8172,0.77021,0.10563,0.3112,0.06649,0.000458006,0.000458006,0.000458006
30,8516.83,0.18322,0.40555,0.07873,0.8585,0.8293,0.83568,0.78939,0.10372,0.3057,0.06304,0.000424289,0.000424289,0.000424289
31,8794.69,0.1811,0.39552,0.07845,0.85937,0.83072,0.83827,0.78967,0.10473,0.3051,0.06417,0.000391113,0.000391113,0.000391113
32,9072.41,0.1814,0.39534,0.07697,0.85825,0.84523,0.84727,0.79804,0.10374,0.29625,0.06346,0.000358607,0.000358607,0.000358607
